tmdb_id,title,release_year,is_period_piece,setting_type,setting_confidence,overview,sources_used
1682,Mothra vs. Godzilla,1964,False,unknown,0.3,"Journalists Ichiro Sakai and Junko cover the wreckage of a typhoon when an enormous egg is found and claimed by greedy entrepreneurs. Mothra's fairies arrive and are aided by the journalists in a plea for its return. As their requests are denied, Godzilla arises near Nagoya and the people of Infant Island must decide if they are willing to answer Japan's own pleas for help.",[]
1685,Beneath the Planet of the Apes,1970,False,unknown,0.3,"The sole survivor of an interplanetary rescue mission lands on the planet of the apes, and uncovers a horrible secret beneath the surface.",[]
261272,Why Try to Escape from That Which You Know You Can't Escape From? Because You Are a Coward,1970,False,unknown,0.3,A man is being haunted by a masked stranger.  The only language used in the movie comes from three (inter) title cards and a few sentences of sermon-like talk in Danish. Some of the talk is modified citations from the bible and similar sources.,[]
668,On Her Majesty's Secret Service,1969,False,unknown,0.3,"James Bond tracks his archnemesis, Ernst Blofeld, to a mountaintop retreat in the Swiss alps where he is training an army of beautiful, lethal women. Along the way, Bond falls for Italian contessa Tracy Draco, and marries her in order to get closer to Blofeld.",[]
2721,Z,1969,False,unknown,0.3,"Amid a tense political climate, the opposition leader is killed in an apparent accident. When a prosecutor smells a cover-up, witnesses get targeted. A thinly veiled dramatization of the assassination of Greek politician Grigoris Lambrakis and its aftermath, “Z” captures the outrage at the US-backed junta that ruled Greece at the time of its release.",[]
379045,Pinkfinger,1965,False,unknown,0.3,"An English voice talks to the Pink Panther, who is reading a book about secret agents, and suggests to the panther that he become an agent. Intrigued at this idea, the Pink Panther dons a trench coat, hat, and pipe and walks nonchalantly on city streets, looking for enemy spies. He comes upon a gang of foreign agents scheming to detonate a series of black-ball bombs, and when they realize he is following them, they shoot him with guns, lure him into a crocodile trap, and, under cover of darkness aboard a train, replace his cigarette with a bomb.",[]
22183,Angelique and the King,1966,True,unknown,0.3,"Soon after her latest husband death, the King himself (Louis XIV) meets with our heroine and begs her to help convince the Persian Ambassador to agree to a treaty. However, what they didn't realize was that the handsome Persian was in fact a sexual sadist. So, it is up to the King's half- brother, some Hungarian prince, to save Angélique from the evil troll's clutches.. The dazzling mistress of rogues and royalty gambles her beauty for the favor of the most elegant Libertine in all of France - Louis XIV himself.. Angelique Collection. The dazzling mistress of rogues and royalty gambles her beauty for the favor of the most elegant Libertine in all of France - Louis XIV himself.. Angelique Collection",[]
44721,Little Fauss and Big Halsy,1970,False,unknown,0.3,The friendship between two Arizona dirt bike racers is tested when they both lust for an attractive runaway young woman who joins them on the racing circuit.,[]
40630,Cheyenne Autumn,1964,True,unknown,0.3,"A reluctant cavalry Captain must track a defiant tribe of migrating Cheyenne.. 1,500 miles of heroism and incredible adventure!. 1,500 miles of heroism and incredible adventure!",[]
98491,Wuthering Heights,1970,False,unknown,0.3,"A passionate and tumultuous love story set against the backdrop of the Yorkshire moors, exploring the intense and destructive relationship between Heathcliff and Catherine Earnshaw.",[]
